ID,المدينة,اسم المنشأة,درجة تصنيف المنشأة,رقم الجوال,البريد الالكتروني,العنوان,الموقع الالكتروني
624,جدة,مكتب وزانة البناء للاستشارات الهندسية,6,505611040,razzaqso83@gmail.com,جدة - شارع الامير سلطان,wzanasa.com
625,جدة,المتكاملة الماسية للاستشارات الهندسية,6,568081197,Samir.hammad123@gmail.com,جدة - حي العزيزية - مركز الملكة التجاري,www.sam
626,جدة,مؤسسة التعاون المتميز للاستثمارات العقارية,6,503545057,wleedhakami@hotmail.com,,
627,جدة,اساس التطوير للاستشارات الهندسية,6,556565675,eng.law.675@gmail.com,,
628,جدة,شركة ايان الدولية العقارية (شركة شخص واحد),6,555565700,,,
629,جدة,مؤسسة عماد عبدالغني أحمد ناضرين للمقاولات,6,555519533,,,
630,جدة,مؤسسة بذور الابداع للمقاولات,6,599996224,,,
631,جدة,شركة كناز المتحدة المحدودة,6,504488553,info@orjwan-consult.com,طريق مكة جدة القديم,orjwan-consult.com
632,جدة,الإبداع الفني وشريكه للاستشارات الهندسية,4,569562227,mbordiny@gmail.com,الواحة - جدة,www.cgce-shahin.com
633,جدة,إسكتش الذهبي للاستشارات الهندسية,6,561343586,alattas.d.c@gmail.com,حي الفيصلية,https://sketchco.net/
634,جدة,مكتب الابنية العصرية للاستشارات الهندسية,6,555772101,zakarisa1234@gmail.com,شارع الستين جنوب المحكمة العامة بجدة,www.qe
635,جدة,مفاز العربية للاستشارات المهنية,3,503836070,hr@mfazarabia.com,جدة,https://mfazarabia.com.sa/
636,جدة,محمد سعيد أبوزحله للاستشارات الهندسية,,555612041,abuzhalah@yahoo.com,شارع أحمد العطاس,www.bonyan.sa
637,جدة,شركة البناء الشامل للاستشارات الهندسية,6,559155986,B.c.eng111@gail.com,جده- شارع الملك فهد - الشرفية - مركز العقيلي التجاري - الدور 5 مكتب رقم 502,khalid-banani.com
638,جدة,شهد سالم ابراهيم عبدالواسع للاستشارات الهندسية,6,503637346,sabdulwasea@gmail.com,JERA8125,www.saec-sa.com
639,جدة,محمد رجاء مستور الصحفي للمساحة الأرضية,6,504691841,M.raja.alsahafi1997@gmail.com,شاعر عبدالله الشربتلي,www.M.raja.alsahafi1997.com
640,جدة,الانشاءات المتقدمة للاستشارات الهندسية,6,566983845,info@acc-sa.net,الرويس - طريق المدينة,acc.net
641,جدة,علي يوسف احمد كعبى للاستشارات الهندسية,6,540444134,alkaabi1387h@gmail.com,حي الفضيلة,https://kaabi-sa.com/index.php
642,جدة,البناء العصري للاستشارات الهندسية,6,591948880,albinaaleasriu2030@gmail.com,حي العزيزه,http://albenaa.paragonzone.com/
643,جدة,تعمير الخليج للاستشارات الهندسية,5,594122288,info@gccoksa.com,,
644,جدة,أركون للاستشارات الهندسية,1,558895887,info@arkonec.com,شارع الأمير ماجد حي الربوة,www.arkonec.com
645,جدة,مؤسسة البيوت المتقدمه للمقاولات العامة,6,556035476,,,
646,جدة,شركة التخطيط والابداع المميز للاستشارات الهندسية,6,506553331,planningandperfect@gmail.com,جدة حي العزيزية شمال المحكمه العامة مركز الملكة الاداري,https://www.planningandperfect.com
647,جدة,اكنان الحجاز للاستشارات الهندسية,6,545337278,ahmed_hamdy20061@yahoo.com,جده - طريق الملك فهد الفرعى,www.aknanalhijaz.com
648,جدة,شركة أروقة البناء للاستشارات الهندسية شركة مهنية شخص واحد,6,555243495,eng.aljelani@gmail.com,"حي العزيزية ، طريق الملك فهد الفرعي",Eng.aljelani
649,جدة,ياسر حامد بخيت للاستشارات الهندسية,,500013500,info@bakheet-group.com,الامير ماجد,www.bakheet-group.com
650,جدة,المصمم العربي للاستشارات الهندسية,6,566623016,info@adeco-ksa.com,جدة - طريق الملك فهد الفرعي - حي العزيزية,adeco-ksa.com
651,جدة,مكان اعمار للاستشارات الهندسية,6,555555146,eng-1@hotmail.com,حي الحمراء شارع الشبكشي,www.mkanemaar.com
652,جدة,مؤسسة ابراهيم حسين على العامري للمقاولات,6,568825285,,,
653,جدة,مكتب محمد أسامة القباني للاستشارات الهندسية,,505603806,mok987@yahoo.com,شارع فلسطين - المخمل بلازا,mokarchitects.com
654,جدة,المبدعون المتحدون للاستشارات الهندسية,6,541446688,Mohandma22@gmail.com,ص.ب/ 23442,uiec.co
655,جدة,ابراهيم صالح القاضي للاستشارات الهندسية,6,552726315,ahmddeb0@yahoo.com,شارع الستين,alkadi.com
656,جدة,دار مكة للاستشارات الهندسية,6,566597920,darmk@darmaaka.com,0,www.darmaaka.com
657,جدة,شركة آشي وبشناق للمقاولات شركة مساهمة مقفلة,2,593000173,,,
658,جدة,شركة الساحة الذهبية للمقاولات,6,568369614,,,
659,جدة,مكتب انجازك الأمثل للاستشارات الهندسية,6,531112460,oaafec@gmail.com,جدة,www.oaafec.com
660,جدة,مؤسسة دار الصفا للمقاولات,6,505608407,saeed2005vip@hotmail.com,الرحاب,www.dar
661,جدة,مستشارك الوحيد للاستشارات الهندسية,2,508695883,abo7assan.203@hotmail.com,ابها,www.advisor.com
662,جدة,مؤسسة بروج الفضيلة للمقاولات العامة,6,540434039,,,
663,جدة,الاستقامة للاستشارات الهندسية,,505619352,gm@altasheed.com,البساتين - شارع بن كثير,www.nine.com
664,جدة,مؤسسة ركن البنيان الراقي للمقاولات,6,506190212,,,
665,جدة,التراث العمراني للاستشارات الهندسية,3,558366920,yaser.alhamoud@altorath.ae,جده,https://maps.app.goo.gl/o1A9f47z8oLLG5mP9
666,جدة,شركة لؤلؤة الانشاء للمقاولات العامة شركة شخص واحد,6,598997543,talalhawa2000@yahoo.com,,
667,جدة,مؤسسة لؤلؤة المعالي للمقاولات العامة,6,500000433,,,
668,جدة,قمة العشرين للمساحة الأرضية,6,577650493,raf512@icloud.com,خلف بلدية بريمان,Raf512.icloud.com
669,جدة,مؤسسة فيصل ابن علي ابن محمد شيخ للمقاولات المعمارية,6,536950491,,,
670,جدة,دار الانجاز والتعمير للاستشارات الهندسية,6,505619352,ceo@daralenjaz.com,حي البساتين شارع اسماعيل ابن كثير رقم المبنى : 6658 الرقم الفرعي : 5310 الرمز البريدي : 23719,www.daralenjaz.com
671,جدة,عبدالرحمن حسن غوص للاستشارات الهندسية,6,550030006,eng.consultances@a-ghouse.com.sa,طريق الأمير محمد بن عبدالعزيز,https://alghousoffice.business.site/
672,جدة,وليد عثمان الثبيتي للمساحة الأرضية,6,553799331,waleed1985waleed1@hotmail.com,الطائف - حي نخب - شارع حسان بن ثابت,non.com
673,جدة,ماجد الهرساني لإستشارات الهندسة المعمارية,,500488888,majed@majedharasani.com,حة الاندلس مركز مشرفة التجارى,majedharasani.com
674,جدة,مؤسسة سامي عبدالله احمد باعزب,6,506363936,,,
675,جدة,عظماء التصاميم للاستشارات الهندسية,6,563317917,Thegreatdesigners1@gmail.com,"محطة بترو توب ? طريق الملك فهد الفرعي (الستين) , شارع نور الدين النصاري , حي الورود, جدة 23222 المكاتب الإدارية ,الدور الاول ? مكتب رقم 5",https://thegreatdesigners.com.sa/
676,جدة,البعد الأول للاستشارات الهندسية,6,501333282,Moh42700105@gmail.com,جدة حي النور,Moh42700105gmail.com
677,جدة,ركن الكيان للاستشارات الهندسية,6,544301316,falshreeff@gmail.com,جدة,not.com
678,جدة,أكنان العمران للاستشارات الهندسية,6,545883661,khalidk399@hotmail.com,حي البساتين - شارع اسماعيل بن كثير,https://aknan-alomran.com
679,جدة,حسن عوض حسن الحازمي للاستشارات الهندسية,6,503617933,hassan.hazmy@gmail.com,"حي السلامة ، سلامة سنتر",ideco.com.sa
680,جدة,شركه يوسف محمد عبدالوهاب ناغي المتحده,5,505676611,,,
681,جدة,شركة الرائدة الماسية للاستشارات الهندسية,6,564661111,s-saa1430@hotmail.com,البساتين,www.ab
682,جدة,شركة بيت العرب للتطوير العقاري,5,531517171,,,
683,جدة,شركة وصال العربية للاستشارات الهندسية,,538819888,hattan@wessalholding.com,حي الشاطئ,www.wessalholding.com
684,جدة,مؤسسة حمد سلطان بن حمد النهدي للمقاولات العامة,6,509176768,,,
685,جدة,عبدالله علي سعيد القاضي الغامدي للاستشارات الهندسية,6,559676931,abdullahalkadi4@yahoo.com,جدة,not.com
686,جدة,شركة الأوج للاستشارات الهندسية شركة مهنية شخص واحد,6,535480000,The.zaydani@gmail.com,"طريق الملك فهد، مبنى الاقتصاد بلازا",https://apex-ksa.com/
687,جدة,شركة الفكرة التصميمية للاستشارات الهندسية,6,545481984,alfekrah.hail1@gmail.com,حي الحمدانية - شارع القاسم بن أمية - أمام كتابة العدل الثانية فرع الشمال,https://alfekra.net
688,جدة,شركة سكنى الدولية للتطوير العمراني المحدودة,6,555046483,hr@suknaventures.com,,
689,جدة,شركة دار الصفا للاستشارات الهندسية شركة مهنية,6,505608407,saeed2005vip@hotmail.com,شارع التجلية,www.dar
690,جدة,ياسر حسن عوض الاحمدي للاستشارات الهندسية,,559090055,yasser.90900@gmail.com,حي الفردوس شارع الامير نايف - عند صيدلية الدواء,www.yasseralahmadi.com
691,جدة,شركة مسار التطور للإستشارات الهندسية شركة مهنية ذات المسؤولية المحدودة من شخص واحد,6,508080531,info@masaralttwar.sa,جدة حي العزيزية شارع البلدية مركز العزيزية الإداري مكتب رقم 52,www.masaralttwar.com
692,جدة,مؤسسة تحقيق الأمل للمقاولات,6,551056724,,,
693,جدة,مؤسسة باسل صالح محمد الصحفي للمقاولات المعمارية,6,553368688,,,
694,جدة,احمد فواد باناجه للاستشارات الهندسية,3,503610195,ahmed.f.banaja@gmail.com,,
695,جدة,كفاية للهندسة المدنية,6,562418119,Saleh66oweadah@gmail.com,مركز ادهم التجاري,Kefaia.com
696,جدة,اراك المروة للاستشارات الهندسية,6,567983333,alzaibn@hotmail.com,حي الرحاب,http://building-consultant-869.business.site
697,جدة,حلول المساكن للاستشارات الهندسية,6,559550696,sabadi1212@hotmail.com,شارع عيسى العدوى,www.holol-m.com
698,جدة,بنان العربية لالستشارات الجيولوجية,6,566926042,a.hadi@benan-int.com,البوادي طريق الملك فهد,www.benan-int.com
699,جدة,امانة محافظة جده,,569292490,raleitany@jeddah.gov.sa,أمانة محافظة جدة,www.jeddah.gov.sa
700,جدة,سدول للاستشارات الهندسية,6,581961067,w-s1991@hotmail.com,حي الشراع,https://sudolusa.com/
701,جدة,شركة نواف هشام عبدالسلام عطار للاستشارات الهندسية شخص واحد,6,565050878,attar_arc@hotmail.com,جدة,www.attar.com
702,جدة,شركة كنان العمران للمقاولات,6,564116666,info@kaosarchitects.com,المأمون بلازا - مكتب 107 - طريق المدينة الطالع,www.kaosarchitects.com
703,جدة,المرحلة الأولى للاستشارات الهندسية,6,507766852,firstphase2020@gmail.com,الرحمانية- شارع عمرو ابن ابي وقاص- عمارة الشريف2- الدور الاول- مكتب2,www.firstphase.net
704,جدة,ابراهيم براك حسن الخميسي للمساحة الأرضية,6,556771184,info@engabra.com,جدة حي الحمدانية,alialsadig.blogspot.com
705,جدة,شركة رافع للتطوير العقاري,6,532177637,,,
706,جدة,خالد محمد الفقيه,,536111115,k.tajj101@gmail.com,[],www.l.com
707,جدة,صالح حمد الطريف للاستشارات الهندسية,6,544029109,alturayyef1331@yahoo.com,,
708,جدة,الطبعة الزرقاء للاستشارات الهندسية,6,533111771,m.saadawi@blueprintsaudi.com,شارع الأمير سلطان,www.blueprintsa.com
709,جدة,الشرق احتراف للرسم المعماري,6,569366154,ss_1405@hotmail.com,جدة - الهنداوية,www.startpoint.sa
710,جدة,مؤسسة المنزل الأمثل للمقاولات العامة,6,535527196,,,
711,جدة,شركة مروان محمد اللقماني للاستشارات الهندسية شخص واحد مهنية,6,542211385,info@mluqmani.com,جدة حي الحمدانية,www.mluqmani.com
712,جدة,مؤسسة علي عمر عبدالله بازيد للمقاولات,6,506353656,bazaid_consulting@hotmail.com,جدة,www.fun
713,جدة,شركة أسوار العربية المحدودة (شركة شخص واحد),6,565600765,aswaralarabia@gmail.com,عابر القارات,aswar.com
714,جدة,المنبسط للاستشارات الهندسية,6,505773303,abdullahalgarni@yahoo.com,شارع الأربعين تقاطع شارع الأدباء برج الأقصى للأعمال مكتب الدور الثاني بحي الرحاب بمدينة جده . 211رقم,www.almunbast.eng
715,جدة,بدر عبدالله الجعيد للهندسة المعمارية,6,566806663,joaiedb@bjayarch.com,طريق الامير نايف - حي الشراع,www.bjayarch.com
716,جدة,مؤسسة المربع الإنشائي للمقاولات العامة,6,534314348,cornerar10@gmail.com,طريق الأمير سلطان,www.cornera1.com
717,جدة,الرائد المتحدة للاستشارات الهندسية,1,546666366,Chairman@pecuae.ae,,
718,جدة,إبداع العالم للاستشارات الهندسية,6,507601758,eng.3a9em@gmail.com,,
719,جدة,قياس الأرض للمساحة الأرضية,6,500900947,Ankr250@gmail.com,العزيزية,www.saudilandsurvey.com
720,جدة,شركة مشارف الندى للاستشارات الهندسية شركة شخص واحد,6,553038321,masharefnada@gmail.com,جدة - حي الرياض,masharefnadal.com
721,جدة,كلينج كونسلت السعودية للاستشارات الهندسية,3,554690882,m.alhabshi@klingconsult.com,حي الأندلس - شارع الامير محمد بن عبدالعزيز,www.klingconsult.com
722,جدة,شركة المدينة الهندسية للاستشارات المهنية,6,550600909,citycenterabha@yahoo.com,شارع الملك فهد,https://apps.balady.gov.sa/Eservices/EngOffice/Portal/Profile?officeId=bldyPrm2721DAFA25D65969E6B6A2EBDC47E46C5F85DDED441E2B35EA9959AFDF6DD3E5
723,جدة,شركة عز استيل للمقاولات العامة شركة شخص واحد,6,556777788,,,
724,جدة,فايد للاستشارات الهندسية,6,503131446,eng.khaledalfaidi@gmail.com,شارع صاري,WWW.FAID.COM
725,جدة,شركة الاسكان المتحدة للمقاولات المحدودة,6,555272694,admin@massadvanced.com,حي الروضة شارع أحمد زكي,not.com
726,جدة,مسطرة للهندسة المدنية,6,598722087,asf.alqahtani@gmail.com,,
727,جدة,خالد عثمان هاشم للاستشارات الهندسية,6,560699963,info@KhaledHashem.net,طريق الامير محمد بن عبدالعزيز (شارع التحلية) - حي الروضة,www.KhaledHashem.net
728,جدة,اوشا للامن والسلامة,6,556656202,eng.abagdady@osha.com.sa,,
729,جدة,شركة كريستال آسيا للتجاره,1,550203412,,,
730,جدة,شركة ايراد المتقدمه للمقاولات عامة,1,550203412,,,
731,جدة,شركة اطلس العالمية المتحدة للتجارة,3,550203412,,,
732,جدة,شركة عطية للمقاولات والتجارة العامة (شركة شخص واحد),2,549115077,alziadi-est@hotmail.com,,
733,جدة,صرح المنامة للتطوير العقاري,6,544430211,sarhalmanama@hotmail.com,,
734,جدة,عثمان محمد المنصور للاستشارات الهندسية,6,505299445,othmanom@yahoo.com,جدة,www.yahoo.com
735,جدة,محمد يحيى العمري للاستشارات الهندسية,6,555696123,eng.amri.office.922@gmail.com,جدة - حي الصواري - الحمراء,mya.com.sa
736,جدة,مؤسسة حسن عتيق عاتق الرفاعي للمقاولات العامة,6,509977074,,,
737,جدة,المنارة للاستشارات الهندسية,6,556640664,mensi.est@gmail.com,الفخر,www.manaratalbait.com
738,جدة,الممر للاستشارات الهندسية,6,548775067,arch_manager@hotmail.com,,
739,جدة,رسام ارت للهندسة المدنية,6,555748350,engr.mttr@gmail.com,شارع الستين,RASSAM.ART.GADA.NET
740,جدة,عين اشبيلية للاستشارات الهندسية,6,582888160,ceo@seville-eye.com,9010 الزمرد,www.seville-eye.com
741,جدة,مؤسسة المباني العقاريه المميزه للمقاولات,6,505606448,mr.alabdoun@gmail.com,,
742,جدة,النخبة الرائدة للاستشارات الهندسية,6,558009903,faisal@alqublan.com,طريق المدينة - مركز الخليج - مكتب 101,www.alqublan.com
743,جدة,محمد علي الدوسري للاستشارات الهندسية,4,503333513,mohed.aldosari@gmail.com,حي السلامة,mdc-sa.com
744,جدة,مؤسسة الضمانات الراقيه للمقاولات,6,555555669,,,
745,جدة,حسين احمد حسين سعود ال شايع للهندسة المدنية,6,544089111,hasaud@gmail.com,شارع الامير ماجد,hasaud.www
746,جدة,سالم عبدالعزيز السديس للاستشارات الهندسية,6,565151031,salsudais@hotmail.com,جده,not.com
747,جدة,مؤسسة مراسم الامم للمقاولات,6,559443394,,,
748,جدة,نماء المتقدمة للستشارات الهندسية,6,505668840,fahdosaimi@gmail.com,شارع الأمير متعب ـ برج الأقصى,www.abnec.com.sa
749,جدة,الفهم للتميز للاستشارات الهندسية,6,500063607,ka@ftecc.com.sa,جدة,https://noofnoof1411.wixsite.com/al-fahm-engineering
750,جدة,ابداع الفكره للاستشارات الهندسية,6,505682806,owaidh@hotmail.com,جدة -شارع الامير محمد بن عبد العزيز الفرعي -حي الصفا,www.missan
751,جدة,الانجاز الرائع للمساحة الأرضية,6,560566599,info@officalnjazalrai.com,جدة - حي الاجواد - شارع حريملة بن الوليد,www.google.com
752,جدة,شركة ملاذ العز للاستشارات الهندسية شركة شخص واحد,6,567567565,office@malathalaizz.com,JHYA2495,www.malathalaizz.com
753,جدة,مستشارك الفني للمساحة الأرضية,,504721121,advisertech@dalelk-tech.com,حي الشراع,http://adviser-tech.com/
754,جدة,شركة قياس الأبعاد للمساحة الارضية شركة مهنية شخص واحد,6,500806680,esas806680@gmail.com,صالح بن جناحhg,esas806680.com
755,جدة,الصقر الفضي للاستشارات الهندسية,6,555790300,fheed4110@gmail.com,"طريق الامير سلطان، المحمدية، جدة",www.esfco.sa
756,جدة,مهند منصور بن صديق كردي للهندسة المعمارية,6,545499967,archmk55@gmail.com,شارع الامير سلطان مبنى فلفت كافيه,www.mkurdi.net
757,جدة,سارى عبده محمد عثمان للهندسة المعمارية,6,550126663,eng.sari@hotmail.com,العزيزية,www.sarioffice2458
758,جدة,الريادة للاستشارات الهندسية,6,592338989,ibrahim_bushnag@hotmail.com,,
759,جدة,شركة بصمة إتقان للاستشارات الهندسية شركة شخص واحد,6,531418802,basmit.etqan@gmail.com,6316 شارع الملك عبدالله بن عبدالعزيز - حي الريان,basmit-etqan.business.site
760,جدة,شركة فنون المباني العربية للمقاولات شركة شخص واحد,6,503003575,,,
761,جدة,محمد علي فقيه للاستشارات الهندسية,6,567457777,mohands88@me.com,حي العزيزية,https://www.feco.ba/en
762,جدة,صميم العمارة للاستشارات الهندسية,6,568960768,samemarch123@gmail.com,طريق الملك فهد الفرعي -حي العزيزية -مركز بابدر بلازا,samemarch.com
763,جدة,ديار اليسر للاستشارت المهنية,1,507882415,d.alyusr.co@gmail.com,شارع الامير ماجد,www.alyusr.com
764,جدة,طارق غنيم الحربي للاستشارات الهندسية,6,562236734,th.1.618studio@gmail.com,العنوان: مكتب طارق غنيم الحربي للاستشارات الهندسية 3113 عرفات,sa-1618studio.net
765,جدة,مدار العربية للاستشارات الهندسية,6,505706229,bsmh096@gmail.com,حي الفيصلية,www.bwc-sa.com
766,جدة,شركة رحلة البناء الهندسي للاستشارات الهندسية شخص واحد مهنية,6,536684417,Rehlatalbinaa@gmail.com,الحمدانية,www.rehlatalbinaa.com
767,جدة,حصيف للاستشارات الهندسية,6,553374628,haseef@haseefec.com,"طريق المدينة المنورة، الشرفية، جدة 22234",https://haseefec.com/
768,جدة,البحر الأخضر للاستشارات الهندسية,6,555512824,mhharbi1@se.com.sa,حي الرحاب شارع الامير محمد بن عبدالعزيز التحلية سابقا,greensea.com
769,جدة,مايل ستون للاستشارات الهندسية,6,544423044,hmdmo4277@gmail.com,,
770,جدة,محمد عبدالعزيز ابن سالم يماني للهندسة المدنية,6,555616166,office.engyamani@gmail.com,,
771,جدة,الحلول الذكية للاستشارات الهندسية,6,553321360,mode-757@hotmail.com,,
772,جدة,وائل حسين عبيد للاستشارات الهندسية,6,569777977,e.wmits@gmail.com,,
773,جدة,شركة حسين علي حسين القحطاني للاستشارات الهندسية مهنية,6,564446613,h.alkahtani1@gmail.com,جدة شارع صاري,husseinbinmakhfor.com
774,جدة,الإنجاز الريادي,6,544874762,e.munshi@injaztec.com,طريق المدينة,iecksa.com
775,جدة,كادا للإستشارات المهنية,6,563017755,Eng.saudalzh11@Hotmail.com,حي الخالدية,http://cada-sa.com
776,جدة,محمد احمد عبدالوهاب محمدخليل للاستشارات الهندسية,6,561621296,mkhalil@indie-sa.com,,
777,جدة,شركة محمد فيصل حميد المزروعي للاستشارات الهندسية,6,568760800,mohd.mazroi@gmail.com,جدة,http://www.basmah.us/
778,جدة,الأجواد العربية للاستشارات الهندسية,6,555586321,alajwad.eng@gmail.com,,
779,جدة,قرار وصك للاستشارات الهندسية,6,582888806,info@qde.sa,شارع البلدية,WWW.QDE.SA
780,جدة,بصمة محترفين للاستشارات الهندسية,6,505177056,sms-2023@hotmail.com,العزيزية - مركز لالقمة لادارة الاعمال . شارع البلدية مع المهندسين,www.basmah.us
781,جدة,شركة كيان الابداع للاستشارات الهندسية,6,559980607,info@kayan-eng.com,جده,www.infokayan-eng.com
782,جدة,شركة عبدالمجيد محمد العمري للاستشارات الهندسية,6,555990379,eng.majeed2030@gmail.com,الربوة شارع يحيى المعلمي رقم المبنى حسب العنوان الوطني 5009,https://www.instagram.com/ewan_2014/?hl=ar
783,جدة,الاستشارة الأولى للهندسة المدنية,6,501154447,Eng.office.g@gmail.com,,
784,جدة,عبدالله صالح العجمي للاستشارات الهندسية,6,552555592,rowad0ksa@gmail.com,,
785,جدة,الاتجاهات المحورية للاستشارات الهندسية,6,500877773,axial@axial-trendss.com,,
786,جدة,عبدالله علي سعيد القاضي الغامدي للاستشارات الهندسية,6,559676931,abdullahalkadi4@yahoo.com,جده,WWW.alkadisa.com
787,جدة,صبا للاستشارات الهندسية,6,504188777,info@engseba.com,جدة حي الحمدانية,www.engseba.com
788,جدة,اثار الصور للاستشارات الهندسية,6,543216008,salman6008@hotmail.com,,
789,جدة,شركة رؤى المجد للاستشارات الهندسية,6,532672272,abd-rehman@hotmail.com,شارع الملك فهد,https://roaa-almajd.com
790,جدة,شركة مجدي عواض سبيهين السلمي للاستشارات الهندسية,6,533172615,mas1983-2030@hotmail.com,"Jeddah, Building No. 4320, Al-Aziziyah District, Granada Street, Additional No. 8723, Unit No. 33",Www.majdiaboawaz.com
791,جدة,الخبرات المتميزة للاستشارات الهندسية,6,551724152,gm@kmcsaudi.com,الصفا - جده -شارع الامير ماجد,https://www.kmcsaudi.com
792,جدة,شركة أوابد العمارة للهندسة المعمارية شخص واحد مهنية,6,548607110,awabidarch@gmail.com,شارع الستين باجنب المحكمة عمارة بابدر بلازا,wq.511
793,جدة,كمال احمد عبدالحميد الخطيب للاستشارات الهندسية,6,504628166,consultant@kak-sa.com,"شارع القاسم بن امية رضي الله عنه ,7006,2979",www.kak-sa.com
794,جدة,علي محمد خفير القرني للاستشارات الهندسية,6,544550987,ali@gda.com.sa,جدة حي الرحاب,gda.com.sa
795,جدة,شركة الفكره الرائده للهندسة المدنية,6,552295336,en.en.10.a@gmail.com,,
796,جدة,مسار الابتكار للاستشارات الهندسية,6,555588065,info@masaralebtecar.sa,حي الرحاب,www.masaralebtecar.sa
797,جدة,إعمار الاحترافية للاستشارات الهندسية,6,540008871,Eng.alomair71@gmail.com,,
798,جدة,عمار فؤاد عالم للاستشارات الهندسية,6,569580483,info@ammaralemoffice.com,جدة - حي السلامة - برج سلامة,www.ammaralemoffice.com
799,جدة,شركة علي خضر علي الشهري للهندسة المدنية,6,533953096,e.alialshehri@gmail.com,,
800,جدة,أبعاد الرؤيه للاستشارات الهندسية,6,538500542,info@vision-d2030.com,,
801,جدة,ديار الحديثة للهندسة المدنية,6,500052283,eng.aliof@outlook.sa,,
802,جدة,راني فيصل حسن بيك للمساحة الأرضية,6,540919092,raniranibaik1@gmail.com,جدة - حي الحمدانية شارع الحمدانية,www.Ranico.com
803,جدة,شركة الرموز المعمارية للاستشارات الهندسية,6,540968689,myami5730@gmail.com,,
804,جدة,شركة الاندلس للاستشارات الهندسية,6,565831800,eng.naif1800@gmail.com,حي الرحمانية,www.andaluseng.sa
805,جدة,ديستركت ديزاينز للاستشارات الهندسية,6,548081230,Walgarni3b@gmail.com,,
806,جدة,عبدالمحسن عائض ثائب المطيري للاستشارات الهندسية,6,508206797,alshatryam@gmail.com,,
807,جدة,شركة تبشر للاستشارات الهندسية شخص واحد مهنية,6,555516771,ceng3a@hotmail.com,,
808,جدة,المبدأ للاستشارات الهندسية,6,540800077,k.wh@live.com,,
809,جدة,شركة تركى محمد بن جميل حلواني للاستشارات الهندسية شركة شخص واحد,6,566911944,info@hac-co.com,شارع احمد العطاس - حي الزهراء,https://consultant-he.com/
810,جدة,جزرة للاستشارات الهندسية,6,568299443,sultan1111@live.com,حي الرويس,https://jzarh.org/
811,جدة,القصر الذهبي للمساحة الأرضية,6,563036368,azizsh007@gmail.com,,
812,الخبر,ايجك- بيت خبرة هندسي وشريكه للاستشارات الهندسية,1,503855077,ali.aldawood@egec-xprt.com,برج الجربوع العقربيه,www.egec-xprt.com
813,الخبر,تصاميم المستقبل للاستشارات الهندسية,1,505815357,maalyousif@yahoo.com,المنطقة الشرقية/الخبر/الخبر الشمالية/تقاطع ش الملك عبد العزيز مع 16,www.futuredesigns.com.sa
814,الخبر,شركة المختصون للتصميم الهندسي السعودية للاستشارات الهندسية,,556333705,hussain.zaki@hotmail.com,حي الكورنيش,www.lemastersar.com
815,الخبر,ميلية العالمية للاستشارات الهندسية,3,530152542,sal1002@batelco.com.bh,الخبر - حي الحزام الأخضر - طريق الملك فهد - مركز الخبر مول - الدور الثاني مكتب 340,www.clemilletint.com
816,الخبر,تصاميم البحرين للاستشارات الهندسية,6,563809099,najisn@gmail.com,الدمام مقابل الجوازات,www.bahraindesigning.com
817,الخبر,بناء السعودية للاستشارات الهندسية,1,551540065,dmg@binaeng.com,business quarter Q1-11,www.binaeng.com
818,الخبر,علي جمعه البحراني للهندسة المعمارية,6,543321990,ali@aldurrahoffice.com,"3616 Custodian of The Two Holy Mosques Rd, Al Aqrabiyah, Al Khobar 34446 6272. Saudi Arabia.",https://www.aldurrahoffice.com/
819,الخبر,منقلة للاستشارات الهندسية,6,505840440,minqala@hotmail.com,الخبر الشمالية - برج الشيخ للأعمال - مكتب رقم 607,www.minqala.com
820,الخبر,شركة مكتب دار التصاميم الحديثة للاستشارات الهندسية,5,558289542,info@mdec.com.sa,مكتب 211 - مركز البندرية - طريق الامير فيصل بن فهد,www.mdec.com.sa
821,الخبر,شركة الفريد للأستشارات الهندسية شركة مهنية شخص واحد,6,561287880,info@alfaridoffice.com,لخبر ? الخبر الشمالية ? شارع الملك خالد تقاطع شارع 19,http://www.alfaridoffice.com/index.php/ar/
822,الخبر,الزكري للاستشارات الهندسية,6,598144777,alzakriconsult_ksa@yahoo.com,الخبر,www.alzakriconsult.com
823,الخبر,احسان علي العباد للاستشارات الهندسية,6,505805687,ehsanconsult1994@gmail.com,شارع الظهران,https://www.ehsanconsult.com/
824,الخبر,شركة الرازي للاستشارات الهندسية شخص واحد,6,583871702,msa_alrazi_eng@hotmail.com,الخبى - مدينة العمال - شارع 7 تقاطع الامير عبدالمحسن,ALRAZI-KSA.COM
825,الخبر,شركة التصاميم الحديثة للاستشارات الهندسية شركة شخص واحد,4,559899991,abajmi@mdceo.com,الخبر شارع الملك عبدالعزيز تقاطع 16,www.mdceo.com
826,الخبر,عبدالله بالطيور للاستشارات الهندسية,3,505820565,a.battyour35@gmail.com,الخبر حي العليا شارع فراس بن النظر - برج بسيل,www.battyour.com
827,الخبر,مراحل التصميم للهندسة المعمارية,5,541666441,naif@designstages.com.sa,الخبر الشماليه,designstages.com.sa
828,الخبر,توزان للمساحة الارضية,2,555153117,moaidh@twozansurveys.com,"Al Jazirah Building, Office 307, Al Aqrabiya",www.twozansurveys.com
829,الخبر,شركة أراك للاستشارات الهندسية شركة مهنية شخص واحد,6,560666600,y.dossary@retal.com.sa,الخبر حي الروابي,none.com
